Agente	Frase	Rodada
AgCD3 | VerCD	Me vê 3 super premium pelo preço normal então	4
AgCD3 | VerCD	pode ser?	4
EmpFert	um momento	4
EmpFert	AgCD3 - posso fazer 3 SP preço normal 1 SP preço baixo ??	4
EmpFert	AgCD1 - posso fazer 4 SP a preço normal e 2 a preço baixo (FECHADO)	4
EmpFert	AgAt2 - 6 SP ficam 5 a preço alto e 1 a preço normal	4
EmpFert	AgCD2 - posso fazer 4 SP a preço normal e 2 a preço baixo (FECHADO)	4
EmpFert	AgAT1 - 6 SP preço alto (FECHADO)	4
AgAt1	Deal	4
AgCD3 | VerCD	Ok... Vou querer somente os 3 SP pelo preço NORMAL! Obrigado! :slight_smile:	4
EmpFert	ok	4
AgCD3 | VerCD	AgCD3 -- Bom dia! Gostaria de comprar 6 (SEIS) unidades do PACOTE 3 pelo preço BAIXO :slight_smile:	1
AgCD1 - Fiscal Cidadela	bom dia!	1
AgCD1 - Fiscal Cidadela	sou AgCD1 e gostaria de comprar 2 unidades do pacote 2 e 1 unidade do pacote 3 de máquinas, e gostaria de saber se os preços estão baixos	1
EmpMaq - PrefeitaATLANTIS	AgCD3 tudo certo	1
EmpMaq - PrefeitaATLANTIS	Preços baixos	1
AgCD3 | VerCD	AgCD3 -- OK... Obrigado por vender 6 (SEIS) unidades do PACOTE 3 pelo preço BAIXO :slight_smile:	1
EmpMaq - PrefeitaATLANTIS	AgCD1 pacote 3  valor normal	1
EmpMaq - PrefeitaATLANTIS	queres ?	1
EmpMaq - PrefeitaATLANTIS	e pacote 2 valor baixo ?	1
AgCD1 - Fiscal Cidadela	pode ser	1
AgCD1 - Fiscal Cidadela	obrigada	1
EmpMaq - PrefeitaATLANTIS	Disponha	1
EmpMaq - PrefeitaATLANTIS	Bom dia! Hoje os pulverizadores estão em promoção com preços baixos	2
EmpMaq - PrefeitaATLANTIS	Recebemos novos estoques de pacotes então aproveitem então ainda temos em estoque	2
AgCD2 / PrefeitoCD - GustavoLima	AgCD2 - Gostaria de alugar 6 máquinas 3. Consegue fazer pelo preço baixo?	2
AgCD1 - Fiscal Cidadela	Olá, sou AgCD1 e gostaria de alugar 6 pacotes de máquinas 2	2
EmpMaq - PrefeitaATLANTIS	ultimamente nossas vendas foram grandes desta maneira possuímos 3 unidades do pacote 3 ao preço normal apenas	2
AgAt2	AgAt2- gostaria do pacote 3 de maquinas	2
EmpMaq - PrefeitaATLANTIS	para o pacote 2 possuímos mais de 10 máquinas ao preço normal	2
EmpMaq - PrefeitaATLANTIS	e o pacote 1 está com preço baixo	2
AgCD2 / PrefeitoCD	Putz, 3 no preço normal?	2
AgCD2 / PrefeitoCD	Mas ai tu consegue fazer preço baixo no pacote 2?	2
AgCD1 - Fiscal Cidadela	Eu gostaria de 1 do pacote 2 no preço baixo então	2
EmpMaq - PrefeitaATLANTIS	agat2 quantas máquinas ?	2
AgCD1 - Fiscal Cidadela	e os outros com preço normal	2
AgCD1 - Fiscal Cidadela	fechando 6	2
EmpMaq - PrefeitaATLANTIS	apenas o pacote 1 está com preço baixo, e o pulverizador	2
AgCD1 - Fiscal Cidadela	AgCD1 pacote 2 apenas preço normal	2
AgAt2	quantas tu tens	2
AgCD1 - Fiscal Cidadela	não tem nenhuma promoção para o pacote 2?	2
AgCD2 / PrefeitoCD - GustavoLima	Bom, pode fazer 3 máquinas 3 (normal) e 3 máquinas 2 (normal)?	2
EmpMaq - PrefeitaATLANTIS	AgCD1  negocio fechado, 3 máquinas do tipo 3 pelo preço normal e mais 3 do tipo 2 pelo preço normal	2
EmpMaq - PrefeitaATLANTIS	agat2 pacote 3 tenho apenas a preço alto agora 3 unidades, tenho mais unidades do pacote 2 a preço normal	2
AgCD1 - Fiscal Cidadela	Oi, eu sou AgCD1	2
EmpMaq - PrefeitaATLANTIS	e o pacote 1 e pulverizantes estão em promoção a preço baixo	2
AgCD1 - Fiscal Cidadela	não negociei dessa forma	2
AgCD1 - Fiscal Cidadela	Gostaria de 3 do pacote 1 e 3 do pacote 2 então	2
AgCD2 / PrefeitoCD	Tem 6 unidades do pacote 2 a preço normal?	2
AgCD1 - Fiscal Cidadela	Sou AgCD1	2
AgCD1 - Fiscal Cidadela	pacote 1 baixo e 2 normal, certo?	2
EmpMaq - PrefeitaATLANTIS	10 unidades de pacote 2 a preço normal, 3 unidades de pacote 3 a preço nomal, 3 unidades de pacote 3 a preço alto, varias unidades de pacote 1 a preço baixo	2
EmpMaq - PrefeitaATLANTIS	e pulverizadores a preço baixo também	2
AgAt2	AgAt2- Então pode ser 6 Pacotes 2?	2
AgCD1 - Fiscal Cidadela	Quero 3 do pacote 1 e 3 do pacote 2 - AgCD1	2
EmpMaq - PrefeitaATLANTIS	AgAt2 feito	2
AgCD2 / PrefeitoCD	AgCD2 - Pode ser 6 unidades do pacote 2 a preço normal?	2
AgCD1 - Fiscal Cidadela	Quero 3 do pacote 1 e 3 do pacote 2 - AgCD1	2
AgCD1 - Fiscal Cidadela	?	2
EmpMaq - PrefeitaATLANTIS	AgCD2 temos agora apenas 4  unidades do pacote 2
AgCD1 - Fiscal Cidadela	Empresário estou falando com vocÊ	2
AgCD2 / PrefeitoCD	e tem mais duas do pacote 3 a preço normal então?	2
EmpMaq - PrefeitaATLANTIS	AgCD1  ok	2
AgCD1 - Fiscal Cidadela	preciso saber o que vamos acertar	2
AgCD2 / PrefeitoCD	Da pra fechar 4 pacote 2 normal e 2 pacote 3 normal?	2
EmpMaq - PrefeitaATLANTIS	AgCD1 podemos fechar sim	2
AgCD1 - Fiscal Cidadela	ok	2
